activity_name,region,neighborhood,lifestyle,cost_mad,duration_hrs,type,difficulty,rating,time_of_day,seasonal_availability,latitude,longitude,description,id
"Fine Dining Experience in Medina, Safi",Safi,Medina,food_lover,727,2.9,food,easy,4.0,morning,summer_only,32.339411,-9.232605,A must-do fine dining experience for visitors to Safi.,284
Marrakesh's Best Historic Site Exploration,Marrakesh,Hivernage,explorer,207,2.2,culture,moderate,4.0,afternoon,year_round,31.616102,-7.941392,A must-do historic site exploration for visitors to Marrakesh.,285
Agadir's Best Sunset Yacht Cruise,Agadir,City Center,comfort_seeker,872,2.2,nature,easy,5.0,afternoon,year_round,30.436922,-9.629565,Immerse yourself in the local City Center area with this nature experience.,286
Unforgettable Historic Site Exploration in Essaouira,Essaouira,Borj,explorer,271,3.9,culture,moderate,3.5,afternoon,year_round,31.478678,-9.746392,A must-do historic site exploration for visitors to Essaouira.,287
Safi's Best Sunset Yacht Cruise,Safi,Nouvelle Ville,comfort_seeker,508,2.9,nature,easy,3.0,afternoon,year_round,32.292401,-9.275743,A must-do sunset yacht cruise for visitors to Safi.,288
Marrakesh Spa Treatment Discovery,Marrakesh,Palmeraie,comfort_seeker,788,2.1,relaxation,easy,3.0,morning,spring_fall,31.628055,-8.013393,Immerse yourself in the local Palmeraie area with this relaxation experience.,289
Traditional Resort Day Pass - Agadir,Agadir,Founty,comfort_seeker,477,7.0,relaxation,easy,3.0,afternoon,spring_fall,30.416092,-9.560507,A must-do resort day pass for visitors to Agadir.,290
Unforgettable Cultural Monument Tour in Essaouira,Essaouira,Port,explorer,108,1.9,culture,easy,3.5,morning,summer_only,31.468568,-9.758501,A must-do cultural monument tour for visitors to Essaouira.,291
Safi Traditional Dinner Show Discovery,Safi,Port Area,food_lover,415,3.2,food,easy,5.0,evening,year_round,32.303851,-9.253789,Experience the authentic flavors and culture of Safi with this traditional dinner show.,292
Traditional Street Food Tour - Marrakesh,Marrakesh,Hivernage,food_lover,199,2.1,food,easy,4.5,morning,year_round,31.643473,-7.946372,Explore the hidden gems of Hivernage with this guided street food tour.,293
Agadir's Best Sunset Yacht Cruise,Agadir,Talborjt,comfort_seeker,754,2.3,nature,easy,4.0,afternoon,year_round,30.447463,-9.588333,Discover the best of Agadir during this unforgettable sunset yacht cruise.,294
Food Market Exploration Adventure - Beach,Essaouira,Beach,food_lover,170,1.5,food,easy,4.5,afternoon,year_round,31.533479,-9.7312,Immerse yourself in the local Beach area with this food experience.,295
Exclusive Cooking Class in Safi,Safi,Beach District,food_lover,452,2.5,food,moderate,3.0,morning,winter_only,32.327355,-9.257097,Immerse yourself in the local Beach District area with this food experience.,296
Exclusive Cooking Class in Marrakesh,Marrakesh,Hivernage,food_lover,487,3.9,food,moderate,3.5,afternoon,year_round,31.672855,-8.019206,Experience the authentic flavors and culture of Marrakesh with this cooking class.,297
Street Food Tour Adventure - Talborjt,Agadir,Talborjt,food_lover,293,2.2,food,easy,3.5,evening,year_round,30.445654,-9.5857,Experience the authentic flavors and culture of Agadir with this street food tour.,298
Sunset Yacht Cruise Adventure - Port,Essaouira,Port,comfort_seeker,524,2.7,nature,easy,3.5,morning,year_round,31.553126,-9.786452,Explore the hidden gems of Port with this guided sunset yacht cruise.,299
Beach District Mountain Excursion,Safi,Beach District,explorer,459,4.7,nature,hard,3.5,morning,year_round,32.288562,-9.209567,Explore the hidden gems of Beach District with this guided mountain excursion.,300
